name,minLon,midLon,maxLon,minLat,midLat,maxLat
Leschi,-122.29789511399987,-122.29071640783488,-122.28214070199991,47.59033447300003,47.59949517237634,47.60916187900004
Madison Park,-122.29395091099988,-122.28229384798635,-122.27467467799991,47.62128,47.63286895302468,47.64421376500007
East Queen Anne,-122.35695110099991,-122.35034211136714,-122.34343178999985,47.62800833400006,47.635372443647995,47.647394188000064
Brighton,-122.28551284851073,-122.27538443421294,-122.26641018111313,47.53152815524662,47.53889531486398,47.546044479944285
Alki,-122.42181600099988,-122.40309261681782,-122.3764813799999,47.55745686300007,47.57621338277083,47.59637432200008
Little Saigon,-122.32240539707428,-122.31551843246078,-122.30730118916337,47.590336352489274,47.59620377739083,47.600072827365935
Mt. Baker,-122.29813555707295,-122.29014645460232,-122.27957224899976,47.57291881882103,47.58171521797166,47.59070608000018
South Park,-122.33498107699988,-122.32509727192745,-122.3089059999999,47.518317,47.52819165997763,47.54213397700004
International District,-122.32906920783614,-122.32525914929279,-122.32035985494446,47.59214839824477,47.59685949581095,47.60174182695948
Hawthorne Hills,-122.27955697775502,-122.27350475138387,-122.26354175123257,47.66798399006824,47.672560287724686,47.675803439530306
Phinney Ridge,-122.36607886791307,-122.35561818844629,-122.34447523271666,47.66213085336457,47.67592473961624,47.6832782049388
South Beacon Hill,-122.30069146399985,-122.28717330160151,-122.278418,47.509806,47.52406610673873,47.538951266000076
Jackson Place,-122.31407855821726,-122.30894785770623,-122.30632360093648,47.5903346932401,47.595922812323856,47.599252725714905
Holly Park,-122.29685900729707,-122.2879249364931,-122.280713327819,47.53149757739827,47.53894556651475,47.544403873745836
Crown Hill,-122.37680952170936,-122.37141654322095,-122.36595443861636,47.690538850765414,47.69608012496089,47.70156893742865
Garfield,-122.30279314863391,-122.29957047191452,-122.29621458190928,47.60163879163459,47.6074626424046,47.61293266293889
Industrial District,-122.3771615279999,-122.33914058717397,-122.31756548199986,47.53911441100006,47.57108166989301,47.59367640200008
Windermere,-122.27416481799989,-122.26250723725114,-122.25079530199989,47.66393159700004,47.66996377276047,47.67581236100005
North College Park,-122.34467024890007,-122.33666658493824,-122.32906118408505,47.69030059427959,47.69858951360441,47.7086651242358
Seward Park,-122.27323096899993,-122.2592791027241,-122.24548667799988,47.531664302000074,47.548322681220185,47.56325632200007
Capitol Hill,-122.33036804012472,-122.31535899130826,-122.30159099999985,47.612880790962386,47.62536988707718,47.63956000000028
Madrona,-122.2962791329999,-122.289390405819,-122.28095567799991,47.60633712000002,47.612895782029646,47.61890730300006
Beacon Hill,-122.32177273391926,-122.30437522021052,-122.28388588772542,47.53894628944765,47.554218164093925,47.57328117695174
Roxhill,-122.37684283709388,-122.3713494489668,-122.36448080414323,47.51737700025898,47.52721516316781,47.53740781925216
Broadmoor,-122.29846775899992,-122.2907243007992,-122.28191867799985,47.62791955300007,47.63790915316931,47.64777032200003
Rainier View,-122.27129299999987,-122.25993013054541,-122.240861,47.495551,47.501579040706254,47.50641525000008
Riverview,-122.3629902929928,-122.35396311230635,-122.34249095420209,47.533689418537975,47.54627510596004,47.559045673651674
Haller Lake,-122.34524777599988,-122.33545225106755,-122.32425888999987,47.70507275900007,47.721143865078574,47.734135
West Queen Anne,-122.37624996803932,-122.36711911477421,-122.35656131499798,47.62382299344544,47.63431544476513,47.642861041572026
Hillman City,-122.28931934013282,-122.28024250059048,-122.27272030099824,47.546043731805646,47.55011001269746,47.55384584666472
Fairmount Park,-122.3871606822937,-122.38122272799325,-122.37257718453573,47.544863785233034,47.55396711659432,47.56526088280027
High Point,-122.37653984471041,-122.36876295570681,-122.36046548056987,47.53369406353622,47.54440938880859,47.553794204969364
Portage Bay,-122.32277002299989,-122.31905694205632,-122.31343467799987,47.64232882700008,47.647117296204094,47.65312764900005
Westlake,-122.34731696699995,-122.34188636279838,-122.33766167799995,47.62712129800006,47.6368246483858,47.64682808000003
Fremont,-122.36665229799986,-122.35246363379768,-122.33811023199989,47.64458567800005,47.65590430478407,47.66688881900006
Belltown,-122.35947871026502,-122.34814137003673,-122.33745045477671,47.61059496255788,47.61508428221772,47.618590742989596
Matthews Beach,-122.29156119199988,-122.28100265486523,-122.26618425299986,47.69002915300006,47.70452242175531,47.71760140300005
Ravenna,-122.31209802299989,-122.299956701098,-122.29013261399989,47.66119,47.67514641517989,47.69036354700005
Yesler Terrace,-122.32545943263258,-122.32025311719292,-122.3160082379921,47.59990335642484,47.60205712856165,47.60434475449397
Roosevelt,-122.32097690599991,-122.31422757545285,-122.3066885179999,47.67097308000006,47.68009954808718,47.690341752000045
Harbor Island,-122.3595403219999,-122.35168833388536,-122.34459547399986,47.56825167800007,47.580332701337404,47.591547322000054
View Ridge,-122.28507855960747,-122.2735596402653,-122.26354175123257,47.67486162453507,47.682940640852316,47.69301304484801
Pinehurst,-122.32835519799991,-122.31876320538365,-122.31233148999986,47.71219637400007,47.72274987076844,47.73406167600006
Genesee,-122.2940470448751,-122.28199827797606,-122.27138202399976,47.56410999700861,47.568779084767336,47.57380961900007
Junction,-122.39760891818067,-122.38703267046694,-122.37281232217275,47.5592788543641,47.56521211147027,47.57032518190461
